License Number,Visit Date,Penalty Type,Case #,WAC Code,Violation Type,City Name,County Name
415031,05/05/2016 12:00:00 AM,AVN,3G6126A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,MOUNTLAKE TERRACE,SNOHOMISH
412756,06/02/2016 12:00:00 AM,AVN,7H6154A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORP. AREAS,OKANOGAN
413131,12/16/2015 12:00:00 AM,AVN,7Q5350A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),SPOKANE (CITY),SPOKANE
415900,10/06/2016 12:00:00 AM,AVN,7M6280A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,STEVENS
416739,03/03/2016 12:00:00 AM,AVN,7L6063E,314.55.099,(MJ) Failure to maintain standardized scale requirements (producer).,MOXEE,YAKIMA
415253,04/20/2017 12:00:00 AM,AVN,3L7110A,69.50.357,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",BELLEVUE,KING
416968,09/13/2017 12:00:00 AM,AVN,7G7256A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),ARLINGTON,SNOHOMISH
420291,09/17/2017 12:00:00 AM,Written Warning,2G7260E,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
412969,05/18/2016 12:00:00 AM,AVN,7P6139A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORPORATED AREAS,DOUGLAS
081400,09/07/2017 12:00:00 AM,Written Warning,1V7250A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORP. AREAS,KITSAP
412627,08/08/2015 12:00:00 AM,AVN,7J5220A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,ARLINGTON,SNOHOMISH
417198,11/08/2017 12:00:00 AM,AVN,7R7312A,314.55.035,(MJ) True party of interest violation.,HOQUIAM,GRAYS HARBOR
413479,12/13/2017 12:00:00 AM,AVN,2G7347A,314.55.079,(MJ) Sale or service to minor,SEATTLE,KING
414680,12/14/2017 12:00:00 AM,Written Warning,3H7348A,69.50.369,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",EVERETT,SNOHOMISH
421702,11/09/2017 12:00:00 AM,Written Warning,1J7313A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,VANCOUVER,CLARK
079013,12/13/2017 12:00:00 AM,AVN,2D7347B,314.55.079,(MJ) Sale or service to minor,SEATTLE,KING
415504,11/01/2017 12:00:00 AM,Written Warning,3V7305A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,SNOHOMISH
415031,11/06/2017 12:00:00 AM,AVN,3H7310A,314.55.079,(MJ) Sale or service to minor,MOUNTLAKE TERRACE,SNOHOMISH
414295,12/05/2017 12:00:00 AM,Written Warning,2N7339A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,DES MOINES,KING
413692,12/26/2017 12:00:00 AM,AVN,2F7360A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
422442,11/14/2017 12:00:00 AM,Written Warning,4L7318A,314.55.050,(MJ) Refusal to allow an inspection and/or obstructing a law enforcement officer from performing their official duties.,SPOKANE (CITY),SPOKANE
422010,12/12/2017 12:00:00 AM,AVN,3A7346C,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORP. AREAS,WHATCOM
416626,02/22/2017 12:00:00 AM,AVN,7E7053A,314.55.120,(MJ) Failing to gain board approval for changes in existing ownership.,WOODLAND,COWLITZ
416196,11/29/2017 12:00:00 AM,AVN,7H7333A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORP. AREAS,OKANOGAN
417029,12/20/2017 12:00:00 AM,Written Warning,7G7354A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,EVERETT,SNOHOMISH
414395,11/08/2017 12:00:00 AM,Written Warning,7Q7312A,314.55.085,(MJ) Violation of transportation requirements. (producer),SPOKANE (CITY),SPOKANE
414286,09/09/2017 12:00:00 AM,AVN,7E7321A,314.55.085,(MJ) Violation of transportation requirements. (producer),VANCOUVER,CLARK
413339,12/11/2017 12:00:00 AM,AVN,7R7345A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORPORATED AREAS,GRAYS HARBOR
412942,11/09/2017 12:00:00 AM,AVN,7J7313A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,THURSTON
416787,11/08/2017 12:00:00 AM,AVN,4W7312A,314.55.050,(MJ) Misrepresentation of fact.,VANCOUVER,CLARK
420819,12/13/2017 12:00:00 AM,AVN,2D7347A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,SEATTLE,KING
421804,12/20/2017 12:00:00 AM,AVN,2D7354A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
413798,12/27/2017 12:00:00 AM,Written Warning,1D7361A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,OCEAN SHORES,GRAYS HARBOR
425068,12/06/2017 12:00:00 AM,Written Warning,3L7340A,314.55.095(3),(MJ) Sales in excess of transaction limitations.,BELLEVUE,KING
414290,11/07/2017 12:00:00 AM,AVN,7M7311A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,GRANT
415707,12/14/2017 12:00:00 AM,Written Warning,7M7348A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,GRANT
402780,12/18/2017 12:00:00 AM,Written Warning,4G7352A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",CLE ELUM,KITTITAS
415721,12/01/2017 12:00:00 AM,AVN,7E7335A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),UNINCORP. AREAS,SKAMANIA
417218,11/01/2017 12:00:00 AM,AVN,7H7305A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,OKANOGAN
422158,11/09/2017 12:00:00 AM,Written Warning,1J7313B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,VANCOUVER,CLARK
421069,12/06/2017 12:00:00 AM,AVN,1C7340A,314.55.079,(MJ) Sale or service to minor,OLYMPIA,THURSTON
414395,11/08/2017 12:00:00 AM,AVN,7Q7312A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),SPOKANE (CITY),SPOKANE
414256,11/09/2017 12:00:00 AM,AVN,3A7313D,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BELLINGHAM,WHATCOM
421709,12/15/2017 12:00:00 AM,Written Warning,1W7349A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORP. AREAS,JEFFERSON
414871,11/09/2017 12:00:00 AM,Written Warning,3B7313A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BELLINGHAM,WHATCOM
420123,11/17/2017 12:00:00 AM,AVN,1W7321A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,FORKS,CLALLAM
414841,12/20/2017 12:00:00 AM,AVN,2R7354F,69.50.401,(MJ) Sale or service to minor,RENTON,KING
412598,10/30/2017 12:00:00 AM,AVN,4W7303A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,ARLINGTON,SNOHOMISH
417285,11/21/2017 12:00:00 AM,AVN,7J7325A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,SEATTLE,KING
412129,11/09/2017 12:00:00 AM,AVN,7B7313A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),UNINCORPORATED AREAS,KING
413427,12/12/2017 12:00:00 AM,AVN,1V7346A,314.55.079,(MJ) Sale or service to minor,UNINCORP. AREAS,KITSAP
425362,12/21/2017 12:00:00 AM,AVN,4L7355A,314.55.079,(MJ) Sale or service to minor,SPOKANE (CITY),SPOKANE
421069,12/06/2017 12:00:00 AM,AVN,1C7340A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,OLYMPIA,THURSTON
416196,11/30/2017 12:00:00 AM,Written Warning,7H7334A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,OKANOGAN
416626,02/22/2017 12:00:00 AM,AVN,7E7053A,314.55.035,(MJ) True party of interest violation.,WOODLAND,COWLITZ
421687,12/20/2017 12:00:00 AM,AVN,4L7354A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,DAVENPORT,LINCOLN
412991,04/23/2017 12:00:00 AM,AVN,7B7117A,314.55.110,(MJ) Conduct violations: Criminal conduct: Permitting or engaging in criminal conduct.,AUBURN,KING
420661,12/12/2017 12:00:00 AM,AVN,1V7346B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BREMERTON,KITSAP
413427,12/12/2017 12:00:00 AM,AVN,1V7346A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORP. AREAS,KITSAP
414864,11/13/2017 12:00:00 AM,Written Warning,4L7318A,314.55.110,(MJ) Conduct violations: Criminal conduct: Permitting or engaging in criminal conduct.,MOSES LAKE,GRANT
414656,11/28/2017 12:00:00 AM,Written Warning,1V7332A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,BREMERTON,KITSAP
417095,12/07/2017 12:00:00 AM,Written Warning,7J7341A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,SEATTLE,KING
415777,11/15/2017 12:00:00 AM,Written Warning,7O7319A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,ADAMS
415685,12/11/2017 12:00:00 AM,AVN,7J7345A,314.55.035,(MJ) True party of interest violation.,SEATTLE,KING
416787,11/08/2017 12:00:00 AM,AVN,4W7312A,314.55.050,(MJ) Failure to furnish required documents.,VANCOUVER,CLARK
415031,11/06/2017 12:00:00 AM,AVN,3H7310A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,MOUNTLAKE TERRACE,SNOHOMISH
416203,11/17/2017 12:00:00 AM,AVN,7I7321A,314.55.035,(MJ) True party of interest violation.,UNINCORPORATED AREAS,ISLAND
414780,12/14/2017 12:00:00 AM,AVN,2J7348C,69.50.401,(MJ) Sale or service to minor,SEATTLE,KING
423634,11/06/2017 12:00:00 AM,AVN,1S7310A,314.55.079,(MJ) Sale or service to minor,TACOMA,PIERCE
424980,11/09/2017 12:00:00 AM,AVN,7P7313A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,DOUGLAS
422109,12/18/2017 12:00:00 AM,AVN,3H7352A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,SNOHOMISH
412991,04/23/2017 12:00:00 AM,AVN,7B7117A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",AUBURN,KING
420123,11/17/2017 12:00:00 AM,AVN,1W7321A,314.55.079,(MJ) Sale or service to minor,FORKS,CLALLAM
402039,11/30/2017 12:00:00 AM,Written Warning,2C7334C,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",SEATTLE,KING
415707,12/14/2017 12:00:00 AM,Written Warning,7M7348A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,GRANT
416787,11/08/2017 12:00:00 AM,AVN,4W7312A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),VANCOUVER,CLARK
412149,01/09/2017 12:00:00 AM,AVN,4W7009A,314.55.050,(MJ) Misrepresentation of fact.,RAYMOND,PACIFIC
420661,12/12/2017 12:00:00 AM,AVN,1V7346B,314.55.079,(MJ) Sale or service to minor,BREMERTON,KITSAP
416203,11/17/2017 12:00:00 AM,AVN,7I7321A,314.55.120,(MJ) Failing to gain board approval for changes in existing ownership.,UNINCORPORATED AREAS,ISLAND
412804,07/31/2017 12:00:00 AM,AVN,7B7212B,314.55.084,"(MJ) Using unauthorized pesticides, soil amendments, fertilizers, other crop production aids.",UNINCORPORATED AREAS,GRAYS HARBOR
422010,12/12/2017 12:00:00 AM,AVN,3A7346C,314.55.079,(MJ) Sale or service to minor,UNINCORP. AREAS,WHATCOM
422109,12/18/2017 12:00:00 AM,AVN,3H7352A,314.55.079,(MJ) Sale or service to minor,UNINCORPORATED AREAS,SNOHOMISH
415777,11/15/2017 12:00:00 AM,Written Warning,7O7319A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,ADAMS
417198,11/08/2017 12:00:00 AM,AVN,7R7312A,314.55.050,(MJ) Misrepresentation of fact.,HOQUIAM,GRAYS HARBOR
415032,12/16/2017 12:00:00 AM,AVN,3C7350A,314.55.079,(MJ) Sale or service to minor,UNINCORPORATED AREAS,SKAGIT
424327,01/24/2018 12:00:00 AM,AVN,7G8024B,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),LAKE STEVENS,SNOHOMISH
421941,01/10/2018 12:00:00 AM,AVN,7G8010A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),DARRINGTON,SNOHOMISH
421941,01/10/2018 12:00:00 AM,Written Warning,7G8010A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),DARRINGTON,SNOHOMISH
422257,11/08/2017 12:00:00 AM,Written Warning,7D7312A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,MASON
414761,01/26/2018 12:00:00 AM,Written Warning,1L8026A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,VANCOUVER,CLARK
422298,01/18/2018 12:00:00 AM,AVN,1F8018A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,MASON
417643,07/25/2017 12:00:00 AM,Written Warning,3D7206A,314.55.096,(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,OAK HARBOR,ISLAND
412588,01/16/2018 12:00:00 AM,Written Warning,7N8016A,314.55.120,(MJ) Failing to gain board approval for changes in existing ownership.,UNINCORPORATED AREAS,SPOKANE
421632,01/03/2018 12:00:00 AM,AVN,1G8003A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,LACEY,THURSTON
084045,01/10/2018 12:00:00 AM,AVN,1J8010A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,VANCOUVER,CLARK
415124,01/24/2018 12:00:00 AM,AVN,1C8024B,69.50.401,(MJ) Sale or service to minor,SOUTH BEND,PACIFIC
420908,01/22/2018 12:00:00 AM,AVN,3A8022A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORP. AREAS,WHATCOM
413596,01/31/2018 12:00:00 AM,Written Warning,4D8031A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNION GAP,YAKIMA
412588,01/16/2018 12:00:00 AM,AVN,7N8016A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORPORATED AREAS,SPOKANE
415652,01/16/2018 12:00:00 AM,AVN,3J8016A,69.50.369,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",KIRKLAND,KING
416870,01/03/2018 12:00:00 AM,AVN,7H8003A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,OKANOGAN
416133,01/11/2018 12:00:00 AM,AVN,7C8011B,314.55.084,"(MJ) Using unauthorized pesticides, soil amendments, fertilizers, other crop production aids.",TUMWATER,THURSTON
421642,01/04/2018 12:00:00 AM,AVN,3E8004A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,SNOHOMISH
415652,01/16/2018 12:00:00 AM,Written Warning,3J8016A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",KIRKLAND,KING
422298,01/18/2018 12:00:00 AM,AVN,1F8018A,314.55.079,(MJ) Sale or service to minor,UNINCORPORATED AREAS,MASON
421326,01/09/2018 12:00:00 AM,Written Warning,1L8009A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments (producer),UNINCORP. AREAS,CLARK
424327,01/24/2018 12:00:00 AM,Written Warning,7G8024B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),LAKE STEVENS,SNOHOMISH
420801,01/02/2018 12:00:00 AM,Written Warning,3B8002A,314.55.083(1),(MJ) Licensee/employee failing to display required security badge.,UNINCORPORATED AREAS,SKAGIT
422103,01/11/2018 12:00:00 AM,AVN,3D8011A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,OAK HARBOR,ISLAND
412687,01/12/2018 12:00:00 AM,AVN,3E8012B,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORPORATED AREAS,MASON
084045,01/10/2018 12:00:00 AM,AVN,1J8010A,314.55.079,(MJ) Sale or service to minor,VANCOUVER,CLARK
415504,01/12/2018 12:00:00 AM,AVN,3E8012A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,SNOHOMISH
414298,01/22/2018 12:00:00 AM,AVN,2C8022B,69.50.401,(MJ) Sale or service to minor,SEATTLE,KING
414225,01/11/2018 12:00:00 AM,AVN,4C8011A,314.55.079,(MJ) Sale or service to minor,PROSSER,BENTON
415771,01/24/2018 12:00:00 AM,AVN,7G8024A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),LAKE STEVENS,SNOHOMISH
413570,01/18/2018 12:00:00 AM,AVN,2X8018A,69.50.369,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",SEATTLE,KING
413169,01/24/2018 12:00:00 AM,Written Warning,7N8024A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),SPOKANE (CITY),SPOKANE
410332,01/03/2018 12:00:00 AM,Written Warning,2D8003A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,SEATTLE,KING
425507,01/22/2018 12:00:00 AM,Written Warning,3W8022A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,REDMOND,KING
414520,01/12/2018 12:00:00 AM,AVN,3H8012B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,EVERETT,SNOHOMISH
413692,01/04/2018 12:00:00 AM,AVN,2F8004B,314.55.079,(MJ) Sale or service to minor,SEATTLE,KING
417214,01/19/2017 12:00:00 AM,AVN,7D7019A,314.55.085,(MJ) Violation of transportation requirements.,TACOMA,PIERCE
422103,01/11/2018 12:00:00 AM,AVN,3D8011A,314.55.079,(MJ) Sale or service to minor,OAK HARBOR,ISLAND
413665,01/05/2018 12:00:00 AM,Written Warning,7J8005A,314.55.095(2),(MJ) Exceeding maximum serving requirements for marijuana-infused products.,UNINCORPORATED AREAS,MASON
413737,01/11/2018 12:00:00 AM,AVN,3H8011A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,SNOHOMISH
415124,01/24/2018 12:00:00 AM,AVN,1C8024B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,SOUTH BEND,PACIFIC
414520,01/12/2018 12:00:00 AM,AVN,3H8012B,314.55.079,(MJ) Sale or service to minor,EVERETT,SNOHOMISH
422658,01/08/2018 12:00:00 AM,Written Warning,4N8008A,69.50.369,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",RITZVILLE,ADAMS
412070,01/18/2018 12:00:00 AM,AVN,7B8018A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
415771,01/24/2018 12:00:00 AM,AVN,7G8024A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),LAKE STEVENS,SNOHOMISH
425273,01/12/2018 12:00:00 AM,Written Warning,4D8012A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,WALLA WALLA (CITY),WALLA WALLA
425965,01/18/2018 12:00:00 AM,AVN,1V8018B,314.55.079,(MJ) Sale or service to minor,UNINCORP. AREAS,KITSAP
422658,01/23/2018 12:00:00 AM,AVN,4N8023A,69.50.369,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",RITZVILLE,ADAMS
424327,01/19/2018 12:00:00 AM,Written Warning,7G8019A,314.55.087,(MJ) Records: Improper recordkeeping. (producer),LAKE STEVENS,SNOHOMISH
414298,01/22/2018 12:00:00 AM,AVN,2C8022B,314.55.520,(MJ) Allowing a minor to frequent a restricted area.,SEATTLE,KING
421642,01/04/2018 12:00:00 AM,AVN,3E8004A,314.55.079,(MJ) Sale or service to minor,UNINCORPORATED AREAS,SNOHOMISH
413692,01/04/2018 12:00:00 AM,AVN,2F8004B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,SEATTLE,KING
413363,01/24/2018 12:00:00 AM,AVN,1P8024A,69.50.401,(MJ) Sale or service to minor,TACOMA,PIERCE
422791,01/26/2018 12:00:00 AM,AVN,3C8026A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,MOUNT VERNON,SKAGIT
413858,01/25/2018 12:00:00 AM,Written Warning,7M8025A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,SPOKANE
422627,01/24/2018 12:00:00 AM,AVN,7L8024A,314.55.085,(MJ) Violation of transportation requirements.,MOXEE,YAKIMA
424327,01/19/2018 12:00:00 AM,AVN,7G8019A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),LAKE STEVENS,SNOHOMISH
425965,01/18/2018 12:00:00 AM,AVN,1V8018B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORP. AREAS,KITSAP
422627,01/23/2018 12:00:00 AM,Written Warning,7L8023A,314.55.085,(MJ) Violation of transportation requirements.,MOXEE,YAKIMA
415739,01/11/2018 12:00:00 AM,Written Warning,7N8011A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORPORATED AREAS,SPOKANE
422168,01/03/2018 12:00:00 AM,Written Warning,3E8003A,314.55.079,(MJ) Sale or service to minor,GOLD BAR,SNOHOMISH
422570,01/12/2018 12:00:00 AM,AVN,3H8012A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,EDMONDS,SNOHOMISH
424273,01/29/2018 12:00:00 AM,Written Warning,4G8029B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,CLE ELUM,KITTITAS
414841,01/16/2018 12:00:00 AM,Written Warning,2N8016A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,RENTON,KING
421941,01/10/2018 12:00:00 AM,Written Warning,7G8010A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),DARRINGTON,SNOHOMISH
416495,01/03/2018 12:00:00 AM,Written Warning,7N8003A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,GRANT
424327,01/19/2018 12:00:00 AM,AVN,7G8019A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),LAKE STEVENS,SNOHOMISH
422570,01/12/2018 12:00:00 AM,AVN,3H8012A,314.55.079,(MJ) Sale or service to minor,EDMONDS,SNOHOMISH
421707,01/10/2018 12:00:00 AM,Written Warning,3B8010A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,BELLINGHAM,WHATCOM
416870,01/03/2018 12:00:00 AM,AVN,7H8003A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,OKANOGAN
413858,01/25/2018 12:00:00 AM,Written Warning,7M8025A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SPOKANE
413363,01/24/2018 12:00:00 AM,AVN,1P8024A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,TACOMA,PIERCE
421326,01/29/2018 12:00:00 AM,Written Warning,1L8029B,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORP. AREAS,CLARK
414761,01/29/2018 12:00:00 AM,Written Warning,1L8003C,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,VANCOUVER,CLARK
421577,01/08/2018 12:00:00 AM,AVN,3L8008A,69.50.369,"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",REDMOND,KING
417087,08/28/2017 12:00:00 AM,AVN,7O7240A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,BENTON
424647,02/03/2018 12:00:00 AM,AVN,4E8034A,69.50.401,(MJ) Sale or service to minor,UNINCORPORATED AREAS,YAKIMA
413893,02/28/2018 12:00:00 AM,Written Warning,2Q8059A,314.55.110,(MJ) Conduct violations: Criminal conduct: Permitting or engaging in criminal conduct.,RENTON,KING
422363,02/20/2018 12:00:00 AM,Written Warning,4L8051A,314.55.083(2),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORP. AREAS,GRANT
421151,02/09/2018 12:00:00 AM,AVN,4N8040A,314.55.020(12),(MJ) Operating plan: Violations of a board-approved operating plan.,PULLMAN,WHITMAN
417087,08/28/2017 12:00:00 AM,Written Warning,7O7240A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORP. AREAS,BENTON
413847,02/02/2018 12:00:00 AM,AVN,1C8033A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,THURSTON
413719,12/29/2017 12:00:00 AM,AVN,7I7363A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORP. AREAS,WHATCOM
413719,12/29/2017 12:00:00 AM,AVN,7I7363A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORP. AREAS,WHATCOM
424647,02/03/2018 12:00:00 AM,Written Warning,4E8034A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,UNINCORPORATED AREAS,YAKIMA
421326,02/28/2018 12:00:00 AM,AVN,1L8059A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORP. AREAS,CLARK
415303,02/03/2018 12:00:00 AM,AVN,4F8034A,69.50.401,(MJ) Sale or service to minor,YAKIMA,YAKIMA
413803,02/01/2018 12:00:00 AM,AVN,2N8032A,69.50.401,(MJ) Sale or service to minor,UNINCORPORATED AREAS,KING
412618,02/16/2018 12:00:00 AM,Written Warning,7P8047A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORPORATED AREAS,CHELAN
402039,02/08/2018 12:00:00 AM,AVN,2C8039B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
413719,12/29/2017 12:00:00 AM,AVN,7I7363A,314.55.086,(MJ) Signs: Failure to post required signs.,UNINCORP. AREAS,WHATCOM
415303,02/03/2018 12:00:00 AM,Written Warning,4F8034A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,YAKIMA,YAKIMA
421695,02/01/2018 12:00:00 AM,AVN,2N8032B,69.50.401,(MJ) Sale or service to minor,UNINCORPORATED AREAS,KING
412335,02/07/2018 12:00:00 AM,AVN,7E8038A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,CLARK
