Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source
NXNW RETAIL LLC / CANNABIS AND GLASS         ,428760,6.03E+15,25101 E APPLEWAY AVE          ,                         ,LIBERTY LAKE            ,WA,SPOKANE,990190000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200324,5093096974,0,0
DOUGLAS COUNTY 502                           ,412865,6.03E+15,2512 FOSTER CREEK AVE         ,                         ,BRIDGEPORT              ,WA,DOUGLAS,988130000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190905,5033177035,0,0
THE WEED SHOP                                ,422457,6.04E+15,25171 SR 525                  ,#2                       ,GREENBANK               ,WA,ISLAND,982530000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191115,4252603482,0,0
DANK OF AMERICA                              ,422817,6.04E+15,2530 PEACE PORTAL DR STE B    ,                         ,BLAINE                  ,WA,WHATCOM,982308063,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200214,4252314439,0,0
"THE ZEN DEN, LLC                             ",420812,6.04E+15,257 ENGH RD                   ,                         ,OMAK                    ,WA,OKANOGAN,988419472,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200530,5096990471,0,0
KALEAFA                                      ,429441,6.04E+15,25960 PACIFIC HWY S           ,                         ,DES MOINES              ,WA,KING,981980000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200623,0,0,0
ALTITUDE                                     ,414225,6.03E+15,260 MERLOT DR                 ,                         ,PROSSER                 ,WA,BENTON,993509533,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191128,5097864200,0,0
KITSAP CANNABIS                              ,424117,6.04E+15,2600 NW RANDALL WAY STE 103   ,                         ,SILVERDALE              ,WA,KITSAP,983839427,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20200404,3608658092,0,0
WAYNE SEMINOFF COMPANY                       ,422752,6.01E+15,2600 W BRUNEAU PL             ,                         ,KENNEWICK               ,WA,BENTON,983360000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200205,5039396724,0,0
POULSBO HAZE                                 ,413255,6.03E+15,26011 OHIO AVE NE             ,                         ,KINGSTON                ,WA,KITSAP,983460000,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,3605983672,0,0
2020 SOLUTIONS                   ,422363,6.04E+15,261 STATE HWY 28 WEST         ,                         ,SOAP LAKE               ,WA,GRANT,988510000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191213,3609154944,0,0
LOVING FARMS                                 ,412370,6.03E+15,2615 OLD HIGHWAY 99 S         ,                         ,MOUNT VERNON            ,WA,SKAGIT,982730000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191018,3605405168,0,0
BIG EYES LLC DBA BUDHUT                      ,427458,6.04E+15,2616 NE 112TH AVE             ,                         ,VANCOUVER               ,WA,CLARK,986844284,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190919,4252494949,0,0
BUD HUT                                      ,410831,6.04E+15,26207 MAPLE VALLEY BLACK      ,DIAMOND RD               ,MAPLE VALLEY            ,WA,KING,980388378,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191205,4257604345,0,0
TACOMA HOUSE OF CANNABIS                     ,424473,6.04E+15,2632 S 38TH ST STE A          ,                         ,TACOMA                  ,WA,PIERCE,984097304,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200606,2532413261,0,0
EMERALD LEAVES                               ,413363,6.04E+15,2702 6TH AVE                  ,                         ,TACOMA                  ,WA,PIERCE,984067213,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191101,2064825627,0,0
STATION 420                                  ,426284,6.03E+15,2704 MAIN ST                  ,                         ,UNION GAP               ,WA,YAKIMA,989031754,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200530,5094524200,0,0
CANNABLYSS                                   ,415575,6.03E+15,2705 HARTFORD DR STE A        ,                         ,LAKE STEVENS            ,WA,SNOHOMISH,982589204,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191018,4253277529,0,0
CANNAREX                                     ,414060,6.03E+15,2714 HENSON RD                ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739036,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190927,4254058179,0,0
HERBAL LEGENDS CANNABIS                      ,422978,6.03E+15,2714 HENSON RD STE B          ,                         ,MOUNT VERNON            ,WA,SKAGIT,982730000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190824,3607783904,0,0
THE VAULT                                    ,426050,6.03E+15,2720 E 29TH AVE               ,                         ,SPOKANE                 ,WA,SPOKANE,992234808,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200214,4252488559,0,0
THE KUSHERY                                  ,420645,6.03E+15,27206 88TH AVE NW             ,                         ,STANWOOD                ,WA,SNOHOMISH,982920000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200527,4256337515,0,0
CANNABIS CITY                                ,413319,6.03E+15,2733 4TH AVE S 1ST FLOOR      ,1ST FLOOR UNIT           ,SEATTLE                 ,WA,KING,981341912,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190914,2066821332,0,0
EUPHORIUM 420                                ,414491,6.03E+15,27623 COVINGTON WAY SE UNIT 1 ,                         ,COVINGTON               ,WA,KING,980420000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191008,4255774533,0,0
NEXT STEPS                                   ,421698,6.04E+15,2804 E 30TH AVE               ,                         ,SPOKANE                 ,WA,SPOKANE,992234782,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191116,5202508988,0,0
THE GREEN DOOR                               ,415410,6.03E+15,28120 HWY 410 E UNIT A8       ,                         ,BUCKLEY                 ,WA,PIERCE,983218482,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200522,2532248299,0,0
GREEN HEAD CANNABIS                          ,414761,6.00E+15,2815 ST. JOHNS ROAD   STE B   ,                         ,VANCOUVER               ,WA,CLARK,986610000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200313,3606091479,0,0
DISCOVERY BAY CANNABIS                       ,423036,6.04E+15,282023 HWY 101                ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983689331,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200115,2066607221,0,0
SEA CHANGE CANNABIS                          ,353260,6.04E+15,282332 HIGHWAY 101 STE 2      ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983688700,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191002,3603020973,0,0
MARY JANE'S                                  ,417646,6.04E+15,2829 N MARKET ST              ,                         ,SPOKANE                 ,WA,SPOKANE,992075553,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200530,5098554485,0,0
FILLABONG                                    ,415211,6.04E+15,2839 NW KITSAP PL STE A       ,                         ,SILVERDALE              ,WA,KITSAP,983839447,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190912,3606980353,0,0
GREEN 101                                    ,422525,6.04E+15,2840 E HWY 101                ,                         ,PORT ANGELES            ,WA,CLALLAM,983629080,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200208,4253124423,0,0
GOOBIE'S DOOBIES                             ,421953,6.04E+15,28680 MAPLE VALLEY BLACK      ,DIAMOND RD SE STE A      ,MAPLE VALLEY            ,WA,KING,980388193,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200131,2534595741,0,0
FRESH GREENS                                 ,413530,6.04E+15,29 HORIZON FLATS RD STE 8     ,                         ,WINTHROP                ,WA,OKANOGAN,988628400,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191224,5094295556,0,0
MR. BILLS OF BUCKLEY                         ,424751,6.03E+15,29393 STATE ROUTE 410 E STE D ,                         ,BUCKLEY                 ,WA,PIERCE,983219424,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200418,3607617540,0,0
SWEET RELIEF CANNABIS EXPRESS                ,422460,6.04E+15,"2947 E HWY 101  STE A, B      ",SUITE A AND B            ,PORT ANGELES            ,WA,CLALLAM,983629059,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200205,3609096327,0,0
MJA  DISTRIBUTION                            ,414659,6.03E+15,300 19TH AVE                  ,                         ,SEATTLE                 ,WA,KING,981225736,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,2068606885,0,0
HAVE A HEART CC                              ,421409,6.03E+15,300 NW 85TH ST STE A          ,                         ,SEATTLE                 ,WA,KING,981170000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200221,2062574500,0,0
THE GREEN ROOM                               ,414696,6.03E+15,300 W MILL PLAIN BLVD         ,                         ,VANCOUVER               ,WA,CLARK,986602979,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,3606094544,0,0
MARY MART INC                                ,424311,6.04E+15,3002 6TH AVE STE 100          ,                         ,TACOMA                  ,WA,PIERCE,984066203,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200416,2539614231,0,0
CANNAZONE                                    ,427742,6.03E+15,3010 OLD HWY 99 SOUTH RD STE B,                         ,MOUNT VERNON            ,WA,SKAGIT,982730000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191227,8602092288,0,0
GREEN LIFE CANNABIS                          ,414755,6.03E+15,3012 GS CENTER RD STE A       ,                         ,WENATCHEE               ,WA,CHELAN,988019116,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191010,2817260614,0,0
BUDS GARAGE                                  ,421005,6.03E+15,3015 EVERETT AVE              ,                         ,EVERETT                 ,WA,SNOHOMISH,982013822,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191010,4258793437,0,0
TOP SHELF 420                                ,413782,6.04E+15,3015 PACIFIC AVE SE           ,                         ,OLYMPIA                 ,WA,THURSTON,985012042,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190824,2539249915,0,0
20AFTER4                                     ,425128,6.03E+15,302 HAZEL ST                  ,                         ,KELSO                   ,WA,COWLITZ,986261410,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191203,2069293060,0,0
MAIN STREET MARIJUANA                        ,429502,6.04E+15,3035 1ST AVE STE B            ,                         ,SEATTLE                 ,WA,KING,981211010,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200304,4256985381,0,0
THE SLOW BURN                                ,415185,6.03E+15,304 W SEATTLE AVE STE F       ,                         ,MOXEE                   ,WA,YAKIMA,989360000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200605,5099692600,0,0
GREEN LADY                                   ,415130,6.03E+15,3044 PACIFIC AVE SE STE B     ,                         ,OLYMPIA                 ,WA,THURSTON,985012043,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,5098697574,0,0
420 ELMA ON MAIN                             ,426678,6.04E+15,306 W MAIN ST                 ,                         ,ELMA                    ,WA,GRAYS HARBOR,985410000,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200225,2539061919,0,0
HIGHER LEAF MARIJUANA BELLEVUE               ,423000,6.03E+15,3079 156TH AVE SE             ,                         ,BELLEVUE                ,WA,KING,980076526,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191119,4258706335,0,0
KITSAP CANNABIS 3                            ,428263,6.04E+15,308 S 5TH AVE                 ,                         ,KELSO                   ,WA,COWLITZ,986262324,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200402,3608658092,0,0
ACCESS CANIBUS LLC                           ,422765,6.04E+15,3082 WAITTS LAKE RD           ,                         ,VALLEY                  ,WA,STEVENS,991810000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191029,3604703051,0,0
TONASKET HOUSE OF CANNABIS                   ,422454,6.04E+15,309 4TH ST W STE A            ,                         ,TONASKET                ,WA,OKANOGAN,988550000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200606,3607853843,0,0
SAGE SHOP                                    ,426888,6.03E+15,309 N MAIN ST                 ,                         ,OMAK                    ,WA,OKANOGAN,988419745,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200110,5093225286,0,0
THE STASH BOX                                ,412494,6.03E+15,3108 A ST SE STE F & G        ,                         ,AUBURN                  ,WA,KING,980028811,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200205,2537970959,0,0
HIGH SOCIETY TACOMA                          ,412940,6.04E+15,3111 S PINE ST                ,                         ,TACOMA                  ,WA,PIERCE,984094711,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190703,3603023121,0,0
RAINIER ON PINE                              ,414723,6.03E+15,3111 S PINE ST                ,                         ,TACOMA                  ,WA,PIERCE,984094711,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171226,2066508908,0,0
MUFFYS POT SHOP                              ,413930,6.03E+15,3134 E HIGHWAY 101 SUITE A    ,                         ,PORT ANGELES            ,WA,CLALLAM,983629074,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,3608082532,0,0
GREENWORKS N.W.                              ,413428,6.02E+15,315 N 105TH ST                ,                         ,SEATTLE                 ,WA,KING,981330000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190926,2064925132,0,0
SATORI FREMONT                               ,421708,6.04E+15,316 N 36TH ST STE B           ,                         ,SEATTLE                 ,WA,KING,981038953,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191009,5099947051,0,0
ZIPS CANNABIS                                ,427634,6.04E+15,317 S 72ND ST                 ,                         ,TACOMA                  ,WA,PIERCE,984086003,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200618,2533024192,0,0
LOCAL AMSTERDAM                              ,429803,6.04E+15,3200 15TH AVE W UNIT B        ,                         ,SEATTLE                 ,WA,KING,981191705,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200127,2063699597,0,0
WORLD OF WEED                                ,414449,6.03E+15,3202 E PORTLAND AVE           ,                         ,TACOMA                  ,WA,PIERCE,984044929,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200422,2532729333,0,0
THC OF OLYMPIA                               ,421069,6.04E+15,3203 MARTIN WAY E STE D       ,                         ,OLYMPIA                 ,WA,THURSTON,985064951,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200208,3605281719,0,0
GANJA GODDESS                                ,413558,6.03E+15,3207 1ST AVE S  UNIT A        ,UNIT A                   ,SEATTLE                 ,WA,KING,981341819,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190803,2066827220,0,0
AMERICAN MARY                                ,410332,6.03E+15,321 NE 45TH ST                ,                         ,SEATTLE                 ,WA,KING,981056133,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191105,3038295712,0,0
ZIPS CANNABIS                                ,84154,6.04E+15,3213 S 38TH STE C             ,                         ,TACOMA                  ,WA,PIERCE,984041094,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200617,2532920197,0,0
LAWRENCE ENTERPRISES                         ,414881,6.03E+15,322 DANIEL LN                 ,                         ,FRIDAY HARBOR           ,WA,SAN JUAN,982500000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200118,3603782288,0,0
THE GREEN NUGGET                             ,427121,6.03E+15,322 E FRANCIS AVE STE A       ,                         ,SPOKANE                 ,WA,SPOKANE,992081086,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191114,5093092130,0,0
HOMEGROWN NORTHWEST                          ,429000,6.04E+15,3230 1ST AVE S                ,                         ,SEATTLE                 ,WA,KING,981341818,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191203,2062255555,0,0
THE HIDDEN BUSH                              ,412921,6.03E+15,3230 E HWY 101                ,                         ,PORT ANGELES            ,WA,CLALLAM,983629073,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191120,3604529395,0,0
FILLABONG                                    ,79720,6.04E+15,3249 PERRY AVE STE B          ,                         ,BREMERTON               ,WA,KITSAP,983105371,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190912,3604432293,0,0
FREEDOM MARKET CATHLAMET CORP                ,422459,6.04E+15,327 SR 4                      ,                         ,CATHLAMET               ,WA,WAHKIAKUM,986120000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190810,3607036090,0,0
THE HERBERY                                  ,71368,6.03E+15,330 NE CHKALOV DR STE C & D   ,STE C & D                ,VANCOUVER               ,WA,CLARK,986845032,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191024,3609079694,0,0
"LUCID AUBURN, 21+ CANNABIS, 21+ MARIJUANA    ",422194,6.02E+15,3310 AUBURN WAY N STE C/D     ,                         ,AUBURN                  ,WA,KING,980021800,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200215,2539732476,0,0
KALEAFA                                      ,417643,6.03E+15,33858 SR 20 STE 102           ,                         ,OAK HARBOR              ,WA,ISLAND,982772664,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200521,3606822420,0,0
THE LUCKY LEAF                               ,413295,6.04E+15,3411 N CAPITOL AVE STE A      ,                         ,PASCO                   ,WA,FRANKLIN,993010000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200213,5096194887,0,0
GREEN LEAF                                   ,414918,6.04E+15,3435 BIRCH BAY LYNDEN RD      ,                         ,CUSTER                  ,WA,WHATCOM,982409507,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191205,3603032860,0,0
MAGIC TREE COLLECTIVE 206                    ,421151,6.03E+15,350 NE STADIUM WAY UNIT B     ,                         ,PULLMAN                 ,WA,WHITMAN,991630000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190830,2532056372,0,0
THE JOINT                                    ,426606,6.03E+15,3502 S 74TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984093912,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191220,4254710283,0,0
#HASHTAG                                     ,414884,6.03E+15,3540 STONE WAY N              ,                         ,SEATTLE                 ,WA,KING,981038924,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,3608184000,0,0
LEGAL MARIJUANA SUPERSTORE                   ,417880,6.03E+15,3610 BETHEL RD SE             ,SUITE 100                ,PORT ORCHARD            ,WA,KITSAP,983670000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191219,3603401009,0,0
"CANNABIS COAST FORKS, LLC                    ",430237,6.04E+15,362 LA PUSH RD                ,                         ,FORKS                   ,WA,CLALLAM,983319504,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200506,3603744020,0,0
KASSABIAN GENERAL                            ,413294,6.03E+15,3620 IRONGATE RD              ,                         ,BELLINGHAM              ,WA,WHATCOM,982260000,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,3603038761,0,0
365 RECREATIONAL CANNABIS                    ,422099,6.04E+15,36711 U.S. HIGHWAY 12         ,                         ,DAYTON                  ,WA,COLUMBIA,983288622,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200507,5093823161,0,0
W.C.W. ENTERPRISES                           ,415445,6.03E+15,3708 MT BAKER HWY             ,                         ,EVERSON                 ,WA,WHATCOM,982470000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191205,3603928309,0,0
EVERGREEN STATE ENTERPRISES                  ,427156,6.04E+15,3772 SR 4 STE A               ,                         ,GRAYS RIVER             ,WA,WAHKIAKUM,986210000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200327,5033170557,0,0
SMOKANE                                      ,425362,6.03E+15,3801 E SPRAGUE AVE            ,                         ,SPOKANE                 ,WA,SPOKANE,992020000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191128,5095364000,0,0
CANNA CASA                                   ,422913,6.04E+15,3818 OLD HIGHWAY 99 S RD      ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739018,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200521,2533598978,0,0
BAYSHORE CANNABIS CO                         ,415127,6.04E+15,3831 HIGHWAY 3                ,                         ,SHELTON                 ,WA,MASON,985840000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190802,2062344663,0,0
OZ.                                          ,415348,6.03E+15,3831 STONE WAY N              ,                         ,SEATTLE                 ,WA,KING,981038005,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191214,2062510630,0,0
NATURES RECREATIONAL CENTER                  ,421562,6.04E+15,3833 PACIFIC AVE STE 3-C      ,                         ,TACOMA                  ,WA,PIERCE,984187897,MARIJUANA RETAILER                 ,PENDING (ISSUED),20190807,2535721500,0,0
TOP SHELF CANNABIS                           ,414256,6.03E+15,3863 HANNEGAN RD              ,                         ,BELLINGHAM              ,WA,WHATCOM,982269103,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171202,3602243735,0,0
OLD TOBY                                     ,413551,6.03E+15,391 NW STATE AVE STE 1        ,                         ,CHEHALIS                ,WA,LEWIS,985321637,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190831,3604853255,0,0
395 HERB                                     ,430369,6.04E+15,3948B 3RD AVE UNIT 2          ,                         ,LOON LAKE               ,WA,STEVENS,991489683,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200602,5096440420,0,0
HERBAN MARKET                                ,427457,6.04E+15,3965 BETHEL RD SE STE 3       ,                         ,PORT ORCHARD            ,WA,KITSAP,983661915,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200122,3608133644,0,0
B STREET BUD                                 ,414558,6.03E+15,400 BURDIN AVE                ,                         ,GRAND COULEE            ,WA,GRANT,991335009,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190829,5096332453,0,0
THE GREENHOUSE                               ,420633,6.03E+15,400 OLYMPIA AVE NE STE A1     ,                         ,RENTON                  ,WA,KING,980563900,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,7328016300,0,0
THE GREEN SHELF                              ,414958,6.03E+15,400 S. MAIN STREET            ,UNIT #1                  ,ELLENSBURG              ,WA,KITTITAS,989263689,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200110,2065560305,0,0
DIAMOND GREEN                                ,413374,6.03E+15,4002 S 12TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984051509,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191115,2532225697,0,0
THE BAKE SHOP                                ,413596,6.04E+15,4007 MAIN ST                  ,                         ,UNION GAP               ,WA,YAKIMA,989032040,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200529,5093149941,0,0
OLYMPIA WEED COMPANY                         ,427769,6.03E+15,401 93RD AVE SE               ,                         ,OLYMPIA                 ,WA,THURSTON,985019701,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200303,3609156071,0,0
UNCLE ANDO'S WURLD OF WEED                   ,414345,6.04E+15,401 SOUTH BOONE               ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985208508,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190829,4255036116,0,0
EVERGREEN MARKET - AUBURN                    ,414714,6.03E+15,402 16TH ST NE STE A-100      ,                         ,AUBURN                  ,WA,KING,980021600,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191107,2068527155,0,0
EMERALD HAZE CANNABIS EMPORIUM               ,414841,6.03E+15,4033 NE SUNSET BLVD UNIT 5    ,                         ,RENTON                  ,WA,KING,980564003,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191121,2533069151,0,0
GREEN RUSH INVESTMENT                        ,422027,6.04E+15,404 AUBURN WAY S STE 100      ,                         ,AUBURN                  ,WA,KING,980025418,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190824,2487050988,0,0
GREEN STATION 1                              ,415308,6.02E+15,4040 AUBURN WAY N STE 5       ,                         ,AUBURN                  ,WA,KING,980021394,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,2062413760,0,0
MARGIES'S POT SHOP LLC                       ,413414,6.03E+15,405 E STEUBEN ST              ,                         ,BINGEN                  ,WA,KLICKITAT,986050000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200623,5099699824,0,0
MARIJUANA MART                               ,422450,6.03E+15,405 E UNION ST                ,                         ,CENTRALIA               ,WA,LEWIS,985313759,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191206,3607891364,0,0
HAPPY TREES                                  ,424273,6.03E+15,407 E 1ST ST                  ,                         ,CLE ELUM                ,WA,KITTITAS,989221255,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191112,2532262135,0,0
EVERGREEN MARKET - NORTH RENTON              ,413791,6.03E+15,409 RAINIER AVE N             ,                         ,RENTON                  ,WA,KING,980575319,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191107,4253188898,0,0
420 WEST                                     ,414733,6.03E+15,410 RONLEE LN NW A1           ,                         ,OLYMPIA                 ,WA,THURSTON,985029266,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191121,3604026368,0,0
FLOYDS                                       ,422049,6.04E+15,410 W STATE ST                ,                         ,SEDRO WOOLLEY           ,WA,SKAGIT,982841557,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191221,3605884473,0,0
THE SLOW BURN                                ,413773,6.03E+15,4101 MAIN STREET              ,                         ,UNION GAP               ,WA,YAKIMA,989032042,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200605,5098234792,0,0
LOVELY BUDS                                  ,422278,6.04E+15,4107 E SPRAGUE AVE            ,                         ,SPOKANE                 ,WA,SPOKANE,992024850,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200130,2082904347,0,0
JACOB JAMES SATTLEEN                         ,413302,6.02E+15,412 N RIVER RD                ,                         ,USK                     ,WA,PEND OREILLE,991800000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20151019,5094471032,0,0
THE GREEN SEED                               ,86054,6.03E+15,412 S INTERLAKE RD            ,                         ,MOSES LAKE              ,WA,GRANT,988372908,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200407,5098552271,0,0
ARKY VANDELAY LLC                            ,414450,6.04E+15,417 NW 65TH ST                ,                         ,SEATTLE                 ,WA,KING,981175027,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190719,0,0,0
LAST STOP POT SHOP                           ,415509,6.03E+15,"41711 STATE ROUTE 2, #1       ",                         ,GOLD BAR                ,WA,SNOHOMISH,982510000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200527,3602178951,0,0
BUDDY'S                                      ,413893,6.03E+15,420 SUNSET BLVD N STE A       ,                         ,RENTON                  ,WA,KING,980555512,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191126,4252269333,0,0
RENGAR LLC                                   ,429044,6.04E+15,4204 RUSSELL RD STE M         ,                         ,MUKILTEO                ,WA,SNOHOMISH,982755424,MARIJUANA RETAILER                 ,PENDING (ISSUED),20200128,2083403970,0,0
PURPLE HAZE                                  ,414680,6.03E+15,4218 RUCKER AVE               ,                         ,EVERETT                 ,WA,SNOHOMISH,982032214,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200425,4252583054,0,0
420 CARPENTER                                ,415083,6.03E+15,422 CARPENTER RD STE 105      ,                         ,LACEY                   ,WA,THURSTON,985037906,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191121,3604026368,0,0
GREEN LEAF                                   ,413886,6.03E+15,4220 MERIDIAN ST STE 102      ,                         ,BELLINGHAM              ,WA,WHATCOM,982269153,MARIJUANA RETAILER                 ,PENDING (ISSUED),20191205,3605262198,0,0
EVERGREEN MARKET - SOUTH RENTON              ,424747,6.04E+15,4242 E VALLEY RD              ,                         ,RENTON                  ,WA,KING,980574903,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200501,4253188898,0,0
